location_name,transect_location_rb_lb,aquatic_plant_species,presence_or_not
Rosie's Bridge,RB,Nasturtium officinale,1
Rosie's Bridge,RB,annual grass,1
Rosie's Bridge,RB,Veronica anagallis-aquatica,1
Rosie's Bridge,RB,Mentha aquatica,1
Rosie's Bridge,RB,Equisetum arvense,0
Rosie's Bridge,RB,Scirpus microcarpus,0
Rosie's Bridge,RB,Carex nudata,0
Rosie's Bridge,RB,Juncus effusus,0
Rosie's Bridge,RB,Persicaria punctata,0
Rosie's Bridge,RB,Lemna spp.,0
Rosie's Bridge,RB,Oenanthe sarmentosa,0
Rosie's Bridge,RB,Hydrocotyle ranunculoides,0
Rosie's Bridge,RB,Lunularia spp.,0
Rosie's Bridge,RB,Carex species B,0
Rosie's Bridge,RB,Veronica americana,0
Rosie's Bridge,RB,Schoenoplectus pungens,0
Rosie's Bridge,LB,Nasturtium officinale,1
Rosie's Bridge,LB,annual grass,1
Rosie's Bridge,LB,Veronica anagallis-aquatica,1
Rosie's Bridge,LB,Mentha aquatica,1
Rosie's Bridge,LB,Equisetum arvense,1
Rosie's Bridge,LB,Scirpus microcarpus,0
Rosie's Bridge,LB,Carex nudata,0
Rosie's Bridge,LB,Juncus effusus,0
Rosie's Bridge,LB,Persicaria punctata,0
Rosie's Bridge,LB,Lemna spp.,0
Rosie's Bridge,LB,Oenanthe sarmentosa,0
Rosie's Bridge,LB,Hydrocotyle ranunculoides,0
Rosie's Bridge,LB,Lunularia spp.,0
Rosie's Bridge,LB,Carex species B,0
Rosie's Bridge,LB,Veronica americana,0
Rosie's Bridge,LB,Schoenoplectus pungens,0
Garland Ranch,LB,Nasturtium officinale,1
Garland Ranch,LB,annual grass,1
Garland Ranch,LB,Veronica anagallis-aquatica,1
Garland Ranch,LB,Mentha aquatica,1
Garland Ranch,LB,Equisetum arvense,0
Garland Ranch,LB,Scirpus microcarpus,0
Garland Ranch,LB,Carex nudata,0
Garland Ranch,LB,Juncus effusus,0
Garland Ranch,LB,Persicaria punctata,0
Garland Ranch,LB,Lemna spp.,0
Garland Ranch,LB,Oenanthe sarmentosa,0
Garland Ranch,LB,Hydrocotyle ranunculoides,0
Garland Ranch,LB,Lunularia spp.,0
Garland Ranch,LB,Carex species B,0
Garland Ranch,LB,Veronica americana,0
Garland Ranch,LB,Schoenoplectus pungens,0
Garland Ranch,RB,Nasturtium officinale,1
Garland Ranch,RB,annual grass,1
Garland Ranch,RB,Veronica anagallis-aquatica,0
Garland Ranch,RB,Mentha aquatica,1
Garland Ranch,RB,Equisetum arvense,0
Garland Ranch,RB,Scirpus microcarpus,1
Garland Ranch,RB,Carex nudata,0
Garland Ranch,RB,Juncus effusus,0
Garland Ranch,RB,Persicaria punctata,0
Garland Ranch,RB,Lemna spp.,0
Garland Ranch,RB,Oenanthe sarmentosa,0
Garland Ranch,RB,Hydrocotyle ranunculoides,0
Garland Ranch,RB,Lunularia spp.,0
Garland Ranch,RB,Carex species B,0
Garland Ranch,RB,Veronica americana,0
Garland Ranch,RB,Schoenoplectus pungens,0
Cachagua Park,RB,Nasturtium officinale,0
Cachagua Park,RB,annual grass,1
Cachagua Park,RB,Veronica anagallis-aquatica,0
Cachagua Park,RB,Mentha aquatica,0
Cachagua Park,RB,Equisetum arvense,1
Cachagua Park,RB,Scirpus microcarpus,0
Cachagua Park,RB,Carex nudata,1
Cachagua Park,RB,Juncus effusus,1
Cachagua Park,RB,Persicaria punctata,0
Cachagua Park,RB,Lemna spp.,0
Cachagua Park,RB,Oenanthe sarmentosa,0
Cachagua Park,RB,Hydrocotyle ranunculoides,0
Cachagua Park,RB,Lunularia spp.,0
Cachagua Park,RB,Carex species B,0
Cachagua Park,RB,Veronica americana,0
Cachagua Park,RB,Schoenoplectus pungens,0
Cachagua Park,LB,Nasturtium officinale,0
Cachagua Park,LB,annual grass,0
Cachagua Park,LB,Veronica anagallis-aquatica,0
Cachagua Park,LB,Mentha aquatica,0
Cachagua Park,LB,Equisetum arvense,0
Cachagua Park,LB,Scirpus microcarpus,0
Cachagua Park,LB,Carex nudata,1
Cachagua Park,LB,Juncus effusus,0
Cachagua Park,LB,Persicaria punctata,0
Cachagua Park,LB,Lemna spp.,0
Cachagua Park,LB,Oenanthe sarmentosa,0
Cachagua Park,LB,Hydrocotyle ranunculoides,0
Cachagua Park,LB,Lunularia spp.,0
Cachagua Park,LB,Carex species B,0
Cachagua Park,LB,Veronica americana,0
Cachagua Park,LB,Schoenoplectus pungens,0
Schulte's Bridge (redo),LB,Nasturtium officinale,0
Schulte's Bridge (redo),LB,annual grass,1
Schulte's Bridge (redo),LB,Veronica anagallis-aquatica,1
Schulte's Bridge (redo),LB,Mentha aquatica,1
Schulte's Bridge (redo),LB,Equisetum arvense,0
Schulte's Bridge (redo),LB,Scirpus microcarpus,1
Schulte's Bridge (redo),LB,Carex nudata,0
Schulte's Bridge (redo),LB,Juncus effusus,0
Schulte's Bridge (redo),LB,Persicaria punctata,1
Schulte's Bridge (redo),LB,Lemna spp.,0
Schulte's Bridge (redo),LB,Oenanthe sarmentosa,0
Schulte's Bridge (redo),LB,Hydrocotyle ranunculoides,0
Schulte's Bridge (redo),LB,Lunularia spp.,0
Schulte's Bridge (redo),LB,Carex species B,0
Schulte's Bridge (redo),LB,Veronica americana,0
Schulte's Bridge (redo),LB,Schoenoplectus pungens,0
Schulte's Bridge (redo),RB,Nasturtium officinale,1
Schulte's Bridge (redo),RB,annual grass,1
Schulte's Bridge (redo),RB,Veronica anagallis-aquatica,1
