location_name,transect_location_rb_lb,water_body,season,canopy_cover_mean,temperature_c_mean,p_h_mean,conductivity_mean,salinity_mean,tds_g_l_mean,do_percent_mean,do_mg_l_mean,riffle_mean,pool_mean,run_mean,glide_mean
By Safeway Redo,LB,Carmel River,fall,0.3382352941,13.7,7.12,0.582,0.37,0.482,41.9,4.32,0,85,0,15
By Safeway Redo,RB,Carmel River,fall,0.2058823529,16.51,7.07,0.94,0.56,0.729,54,5.2,0,100,0,0
Cachagua Park,LB,Carmel River,spring,1,13.4,8.52,0.141,0.09,0.117,75.2,7.85,0,0,100,0
Cachagua Park,RB,Carmel River,spring,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,100,0
Creek Walk Start,MID,Potrero Creek,fall,1,11.54,7.57,0.5,0.33,0.438,46.8,5.08,1,99,0,0
Garland Ranch,LB,Carmel River,spring,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,100,0
Garland Ranch,RB,Carmel River,spring,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,98,0
Lower Garzas (SLP),LB,Garzas Creek,fall,1,19.97,7.43,0.183,0.1,0.133,42.3,3.84,40,60,0,0
Lower Garzas (SLP),RB,Garzas Creek,fall,1,20.01,7.33,0.184,0.1,0.131,40.7,3.72,20,80,0,0
Rosie's Bridge,LB,Carmel River,spring,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,55,0
Rosie's Bridge,RB,Carmel River,spring,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,75,0
SLP Water Monitoring Site,LB,San Clemente Creek,fall,0.9264705882,12.75,7.99,0.226,0.14,0.192,82.2,8.54,60,40,0,0
SLP Water Monitoring Site,RB,San Clemente Creek,fall,0.8970588235,12.58,7.63,0.225,0.14,0.192,74.5,7.94,60,40,0,0
Schulte's Bridge (redo),LB,Carmel River,fall,0.9264705882,16.73,7.31,0.339,0.19,0.262,51,4.94,0,50,50,0
Schulte's Bridge (redo),RB,Carmel River,fall,1,16.79,7.41,0.334,0.19,0.257,51.8,5.03,0,75,25,0
Tularcitos,MID,Tularcitos Creek,fall,0.9117647059,13.82,8.19,0.875,0.56,0.723,62.2,6.35,10,40,50,0
