location_coordinates,water_body,location_name,date,season,observers,start_time,end_time,transect_location_rb_lb,canopy_cover_0_to_1_ratio,temperature_c,p_h,conductivity_m_s_cm,salinity,tds_g_l,do_percent,do_mg_l,riffle,pool,glide,run,cover_area_m_2,number_individuals,aquatic_plant_species,emergent_submergent_or_floating,depth_m,velocity_m_s,substrate_size_mm,calc_stem_abundance_m2,final_abundance
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35:00,12:30:00,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,NA,6,Nasturtium officinale,submergent,0.25,0.1,<2,0.54,0.54
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35:00,12:30:00,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,2.2,10,annual grass,submergent,0.19,0.1,<2,0.8999999999999999,2.2
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35:00,12:30:00,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,NA,4,Veronica anagallis-aquatica,submergent,0.19,0.1,<2,0.36,0.36
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35:00,12:30:00,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,NA,1,Nasturtium officinale,submergent,0.42,0.6,90,0.09,0.09
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35:00,12:30:00,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,NA,16,Mentha aquatica,emergent,0.27,0.8,32,1.44,1.44
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35:00,12:30:00,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,16.4,100,Mentha aquatica,emergent,0.32,0.1,22.6,9,9
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35:00,12:30:00,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,NA,2,annual grass,submergent,0.27,0.8,32,0.18,0.18
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35:00,12:30:00,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,NA,1,annual grass,submergent,0.32,0.3,32,0.09,0.09
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35:00,12:30:00,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,NA,9,Mentha aquatica,emergent,0.15,0.2,64,0.8099999999999999,0.8099999999999999
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,7,Nasturtium officinale,emergent,0.34,0.6,45,0.63,0.63
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,7,annual grass,emergent,0.34,0.6,45,0.63,0.63
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,3,Mentha aquatica,emergent,0.26,0.7,45,0.27,0.27
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,2,annual grass,submergent,0.26,0.7,45,0.18,0.18
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,5,annual grass,emergent,0.3,1.1,45,0.44999999999999996,0.44999999999999996
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,10,Mentha aquatica,emergent,0.3,1.1,45,0.8999999999999999,0.8999999999999999
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,9,annual grass,emergent,0.4,0.8,64,0.8099999999999999,0.8099999999999999
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,20,Equisetum arvense,emergent,0.35,1,64,1.7999999999999998,1.7999999999999998
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,2,Veronica anagallis-aquatica,emergent,0.4,0.6,32,0.18,0.18
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,NA,3,Nasturtium officinale,submergent,0.36,1,45,0.27,0.27
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,7,25,Mentha aquatica,partly emergent,0.4,1,90,2.25,2.25
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",13:15:00,14:39:00,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,5.8,100,annual grass,emergent,0.44,1.1,64,9,5.8
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,3,annual grass,submergent,0.18,0.4,<2,0.27,0.27
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,5.8,30,annual grass,emergent,0.38,0.2,<2,2.6999999999999997,5.8
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,5.8,4,Mentha aquatica,emergent,0.38,0.2,<2,0.36,0.36
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,5.8,6,Nasturtium officinale,submergent,0.38,0.2,<2,0.54,0.54
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,2,Nasturtium officinale,emergent,0.52,0.2,45,0.18,0.18
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,1,Nasturtium officinale,submergent,0.52,0.1,4,0.09,0.09
