Location (coordinates),Water body,Location Name,Date,Season,Observers,Start time,End time,"Transect location (RB, LB)",Canopy Cover (0 to 1 ratio),Temperature (°C),pH,Conductivity (mS/cm),Salinity,TDS g/L,DO %,DO mg/L,Riffle,Pool,Glide,Run,Cover (area) [m^2],# individuals,Aquatic plant species,"Emergent, submergent or floating?",Depth (m),Velocity (m/s),Substrate size (mm)
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35 AM,12:30 PM,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,,6,Nasturtium officinale,submergent,0.25,0.1,<2
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35 AM,12:30 PM,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,2.2,10,annual grass,submergent,0.19,0.1,<2
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35 AM,12:30 PM,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,,4,Veronica anagallis-aquatica,submergent,0.19,0.1,<2
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35 AM,12:30 PM,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,,1,Nasturtium officinale,submergent,0.42,0.6,90
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35 AM,12:30 PM,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,,16,Mentha aquatica,emergent,0.27,0.8,32
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35 AM,12:30 PM,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,16.4,100,Mentha aquatica,emergent,0.32,0.1,22.6
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35 AM,12:30 PM,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,,2,annual grass,submergent,0.27,0.8,32
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35 AM,12:30 PM,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,,1,annual grass,submergent,0.32,0.3,32
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",10:35 AM,12:30 PM,RB,0.7058823529,11.11,8.42,0.156,0.1,0.138,95,10.44,25,0,0,75,,9,Mentha aquatica,emergent,0.15,0.2,64
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,7,Nasturtium officinale,emergent,0.34,0.6,45
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,7,annual grass,emergent,0.34,0.6,45
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,3,Mentha aquatica,emergent,0.26,0.7,45
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,2,annual grass,submergent,0.26,0.7,45
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,5,annual grass,emergent,0.3,1.1,45
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,10,Mentha aquatica,emergent,0.3,1.1,45
